entity_type,layer,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle,text,insert_x,insert_y
CIRCLE,0,,,,,,,70.9516,30.5807,0.8581,,,,,,,,
CIRCLE,0,,,,,,,69.9352,31.0729,0.7505,,,,,,,,
LINE,0,70.8833,27.9079,0.0,71.0196,29.9864,0.0,,,,,,,,,,,
LINE,0,71.0196,29.9864,0.0,71.9082,31.3254,0.0,,,,,,,,,,,
LINE,0,70.816,30.3299,0.0,69.5056,33.3761,0.0,,,,,,,,,,,
LINE,0,70.8081,30.115,0.0,70.8125,27.9954,0.0,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
LINE,0,64.9847,28.5079,0.0,66.9447,28.5079,0.0,,,,,,,,,,,
LINE,0,66.9447,28.5079,0.0,66.9447,29.9777,0.0,,,,,,,,,,,
LINE,0,66.9447,29.9777,0.0,64.9847,29.9777,0.0,,,,,,,,,,,
LINE,0,64.9847,29.9777,0.0,64.9847,28.5079,0.0,,,,,,,,,,,
LINE,0,64.9847,28.5079,0.0,64.9847,27.9079,0.0,,,,,,,,,,,
LINE,0,63.6847,28.5079,0.0,62.2547,28.5079,0.0,,,,,,,,,,,
LINE,0,62.2547,28.5079,0.0,62.2547,29.9777,0.0,,,,,,,,,,,
LINE,0,62.2547,29.9777,0.0,63.6847,29.9777,0.0,,,,,,,,,,,
LINE,0,63.6847,29.9777,0.0,63.6847,28.5079,0.0,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
LINE,0,62.2547,28.8423,0.0,63.6847,28.8423,0.0,,,,,,,,,,,
LINE,0,62.3047,28.8923,0.0,62.3047,29.9277,0.0,,,,,,,,,,,
LINE,0,63.6347,28.8923,0.0,63.6347,29.9277,0.0,,,,,,,,,,,
LINE,0,62.3047,29.9277,0.0,63.6347,29.9277,0.0,,,,,,,,,,,
LINE,0,62.3047,28.8923,0.0,63.6347,28.8923,0.0,,,,,,,,,,,
LINE,0,62.3347,28.9223,0.0,62.3347,29.8977,0.0,,,,,,,,,,,
LINE,0,63.6047,28.9223,0.0,63.6047,29.8977,0.0,,,,,,,,,,,
LINE,0,62.3347,29.8977,0.0,63.6047,29.8977,0.0,,,,,,,,,,,
LINE,0,62.3347,28.9223,0.0,63.6047,28.9223,0.0,,,,,,,,,,,
LINE,0,62.3081,28.7923,0.0,62.3081,28.5579,0.0,,,,,,,,,,,
LINE,0,63.6357,28.7923,0.0,63.6357,28.5579,0.0,,,,,,,,,,,
LINE,0,62.3081,28.7923,0.0,63.6357,28.7923,0.0,,,,,,,,,,,
LINE,0,62.3081,28.5579,0.0,63.6357,28.5579,0.0,,,,,,,,,,,
LINE,0,62.9697,28.9223,0.0,62.9697,29.8977,0.0,,,,,,,,,,,
LINE,0,65.1047,28.5079,0.0,65.1047,29.9777,0.0,,,,,,,,,,,
LINE,0,65.1547,28.5579,0.0,65.1547,29.9277,0.0,,,,,,,,,,,
LINE,0,66.8947,29.9277,0.0,65.1547,29.9277,0.0,,,,,,,,,,,
LINE,0,65.1547,28.5579,0.0,66.8947,28.5579,0.0,,,,,,,,,,,
LINE,0,66.8947,28.5579,0.0,66.8947,29.9277,0.0,,,,,,,,,,,
LINE,0,66.8647,28.5879,0.0,66.8647,28.8423,0.0,,,,,,,,,,,
LINE,0,66.8647,28.9223,0.0,66.8647,29.8977,0.0,,,,,,,,,,,
LINE,0,65.1847,28.5879,0.0,65.1847,28.8423,0.0,,,,,,,,,,,
LINE,0,65.1847,28.9223,0.0,65.1847,29.8977,0.0,,,,,,,,,,,
LINE,0,66.8647,29.8977,0.0,65.1847,29.8977,0.0,,,,,,,,,,,
LINE,0,65.1847,28.5879,0.0,66.8647,28.5879,0.0,,,,,,,,,,,
LINE,0,65.1847,28.8423,0.0,66.8647,28.8423,0.0,,,,,,,,,,,
LINE,0,65.1847,28.9223,0.0,66.8647,28.9223,0.0,,,,,,,,,,,
LINE,0,65.1547,28.8923,0.0,66.8947,28.8923,0.0,,,,,,,,,,,
LINE,0,66.0234,28.9223,0.0,66.0234,29.8977,0.0,,,,,,,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[64.0259, 30.5357], [64.9847, 30.5357], [64.9847, 30.3562], [64.0259, 30.3562]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[64.9847, 27.9079], [63.931, 27.9079], [63.931, 27.9079], [64.9847, 27.9079]]",4.0,True,,,,,
LWPOLYLINE,0,,,,,,,,,,"[[64.9847, 27.9079], [63.8736, 27.9079], [63.8736, 27.9787], [64.9847, 27.9787]]",4.0,True,,,,,
LINE,0,54.5539,17.2055,0.0,43.445,17.2055,0.0,,,,,,,,,,,
LINE,0,51.0462,19.7055,0.0,53.7962,19.7055,0.0,,,,,,,,,,,
LINE,0,45.6262,23.9334,0.0,45.6262,18.0336,0.0,,,,,,,,,,,
LINE,0,47.0662,18.0336,0.0,47.0662,19.7055,0.0,,,,,,,,,,,
LINE,0,47.066,17.9362,0.0,47.066,17.2055,0.0,,,,,,,,,,,
