entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle
TEXT,TEXTO,"01""",-79.8148,-1.3284,,,,,,,,,,,,,,
LINE,TEXTO,,,,-79.7481,-1.2263,0.0,-79.8106,-1.3668,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-79.0223,-1.2503,0.0,-79.1254,-1.5029,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-78.9671,-1.2524,0.0,-79.0701,-1.505,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-78.9155,-1.257,0.0,-79.0186,-1.5097,0.0,,,,,,,,
TEXT,TEXTO," Cu,6 THW",-79.4192,-1.2218,,,,,,,,,,,,,,
LINE,TUBERIA-PISO,,,,-80.512,-1.0301,0.0,-81.2421,-1.0301,0.0,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-81.3221,-1.0301,0.08,,,,,
LINE,ELEMENTOS-ELEC,,,,-81.2926,-0.9557,0.0,-81.2926,-1.1852,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-81.3517,-0.9557,0.0,-81.3517,-1.1852,0.0,,,,,,,,
TEXT,TEXTO,2,-80.5971,-1.1531,,,,,,,,,,,,,,
CIRCLE,ELEMENTOS-ELEC,,,,,,,,,,-80.432,-1.0301,0.08,,,,,
LINE,ELEMENTOS-ELEC,,,,-80.4025,-0.9557,0.0,-80.4025,-1.1852,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-80.4616,-0.9557,0.0,-80.4616,-1.1852,0.0,,,,,,,,
LINE,CAJONEO,,,,-78.6768,-0.7211,0.0,-78.7268,-0.7211,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.4268,-1.5001,0.0,-78.7268,-1.5001,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.5768,-1.6501,0.0,-78.7268,-1.6501,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.5768,-1.4825,0.0,-79.5768,-1.72,0.0,,,,,,,,
ARC,CAJONEO,,,,,,,,,,-79.7104,-1.7189,0.1336,,,,280.9251,0.5044
LINE,CAJONEO,,,,-80.7351,-1.3501,0.0,-80.9185,-1.3501,0.0,,,,,,,,
LINE,CAJONEO,,,,-81.0268,-1.4825,0.0,-81.0268,-1.72,0.0,,,,,,,,
ARC,CAJONEO,,,,,,,,,,-80.8932,-1.7189,0.1336,,,,179.4956,259.0749
ARC,CAJONEO,,,,,,,,,,-80.8932,-1.4813,0.1336,,,,100.9251,180.5044
LINE,CAJONEO,,,,-80.6305,-1.4501,0.0,-80.6305,-1.5001,0.0,,,,,,,,
ARC,CAJONEO,,,,,,,,,,-80.7604,-1.4813,0.1336,,,,13.5069,79.0749
LINE,CAJONEO,,,,-79.6851,-1.8501,0.0,-80.9185,-1.8501,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.5768,-1.5001,0.0,-80.6305,-1.5001,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.9048,-1.4211,0.0,-80.3407,-1.4211,0.0,,,,,,,,
LINE,CAJONEO,,,,-78.7268,-1.6501,0.0,-78.7268,-1.9001,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.4268,-0.8001,0.0,-79.4268,-1.5001,0.0,,,,,,,,
LINE,CAJONEO,,,,-79.5768,-0.9501,0.0,-79.5768,-1.6501,0.0,,,,,,,,
ARC,CAJONEO,,,,,,,,,,-80.1227,-1.3061,0.2464,,,,332.1819,207.8181
LINE,CAJONEO,,,,-78.7268,-0.7501,0.0,-78.7268,-1.5001,0.0,,,,,,,,
TEXT,TEXTO,3,-81.9897,1.8273,,,,,,,,,,,,,,
LINE,TUBERIA-PISO,,,,-82.1292,1.6919,0.0,-82.7281,1.251,0.0,,,,,,,,
TEXT,TEXTO,2,-81.886,0.6942,,,,,,,,,,,,,,
