entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,vertices,vertex_count,closed,center_x,center_y,radius,start_angle,end_angle
LINE,PLANTA-ARQUITECTONICA,,,,-49.3112,-37.8053,0.0,-49.3588,-39.5053,0.0,,,,,,,,
TEXT,TEXTO,HALL ACCESO,-50.8274,-39.658,,,,,,,,,,,,,,
LINE,ACOMETIDAS,,,,-49.5858,-38.6946,0.0,-51.9642,-38.6946,0.0,,,,,,,,
LINE,CABLES,,,,-51.0925,-38.8432,0.0,-51.2689,-38.9233,0.0,,,,,,,,
LINE,CABLES,,,,-51.0925,-38.7876,0.0,-51.2689,-38.8676,0.0,,,,,,,,
TEXT,TEXTO,TINTOS,-48.8985,-38.8556,,,,,,,,,,,,,,
TEXT,TEXTO,T.G.,-49.9344,-38.5571,,,,,,,,,,,,,,
TEXT,TEXTO,8,-48.9897,-38.6607,,,,,,,,,,,,,,
LINE,CABLES,,,,-48.8957,-38.4231,0.0,-48.9565,-38.5654,0.0,,,,,,,,
LINE,CABLES,,,,-48.8385,-38.4231,0.0,-48.8993,-38.5654,0.0,,,,,,,,
LINE,CABLES,,,,-48.9663,-38.4231,0.0,-49.0271,-38.5654,0.0,,,,,,,,
