entity_type,layer,center_x,center_y,radius,start_angle,end_angle,vertices,vertex_count,closed,start_x,start_y,start_z,end_x,end_y,end_z,text,insert_x,insert_y
LWPOLYLINE,VENTANA,,,,,,"[[-2.7994, 278.4394], [-2.7794, 278.4394], [-2.7794, 278.4443], [-2.784, 278.4443], [-2.7948, 278.4443], [-2.7994, 278.4443]]",6.0,True,,,,,,,,,
LWPOLYLINE,VENTANA,,,,,,"[[-2.7869, 278.4158], [-2.7862, 278.4181], [-2.7814, 278.4237], [-2.7814, 278.4255], [-2.7794, 278.4255], [-2.7794, 278.43], [-2.7859, 278.43], [-2.7859, 278.4388], [-2.7929, 278.4388], [-2.7929, 278.43], [-2.7994, 278.43], [-2.7994, 278.4255], [-2.7974, 278.4255], [-2.7974, 278.4237], [-2.7926, 278.4181], [-2.7919, 278.4158], [-2.7919, 278.4138], [-2.7869, 278.4138]]",18.0,True,,,,,,,,,
LWPOLYLINE,VENTANA,,,,,,"[[-3.5671, 278.4394], [-3.5871, 278.4394], [-3.5871, 278.4443], [-3.5825, 278.4443], [-3.5717, 278.4443], [-3.5671, 278.4443]]",6.0,True,,,,,,,,,
LWPOLYLINE,VENTANA,,,,,,"[[-3.5796, 278.4158], [-3.5803, 278.4181], [-3.5851, 278.4237], [-3.5851, 278.4255], [-3.5871, 278.4255], [-3.5871, 278.43], [-3.5806, 278.43], [-3.5806, 278.4388], [-3.5736, 278.4388], [-3.5736, 278.43], [-3.5671, 278.43], [-3.5671, 278.4255], [-3.5691, 278.4255], [-3.5691, 278.4237], [-3.574, 278.4181], [-3.5746, 278.4158], [-3.5746, 278.4138], [-3.5796, 278.4138]]",18.0,True,,,,,,,,,
LINE,PUERTAS,,,,,,,,,0.9224,278.5218,0.0,0.9224,278.4396,0.0,,,
LWPOLYLINE,PUERTAS,,,,,,"[[0.9224, 278.4292], [0.9224, 278.4007], [0.9624, 278.4007], [0.9624, 278.5218], [0.9224, 278.5218], [0.9324, 278.4396], [0.9224, 278.4396], [0.9324, 278.5218], [0.9324, 278.4292]]",9.0,True,,,,,,,,,
LINE,PUERTAS,,,,,,,,,-0.628,278.5218,0.0,-0.628,278.4396,0.0,,,
LWPOLYLINE,PUERTAS,,,,,,"[[-0.628, 278.4292], [-0.628, 278.4007], [-0.668, 278.4007], [-0.668, 278.5218], [-0.628, 278.5218], [-0.638, 278.4396], [-0.628, 278.4396], [-0.638, 278.5218], [-0.638, 278.4292]]",9.0,True,,,,,,,,,
LWPOLYLINE,VENTANA,,,,,,"[[0.9314, 278.4302], [-0.637, 278.4302], [-0.637, 278.4386], [0.9314, 278.4386]]",4.0,True,,,,,,,,,
LWPOLYLINE,VENTANA,,,,,,"[[0.1572, 278.4394], [0.1372, 278.4394], [0.1372, 278.4443], [0.1418, 278.4443], [0.1526, 278.4443], [0.1572, 278.4443]]",6.0,True,,,,,,,,,
